,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Butaritari,81,KI,1562460362,70,3.07,172.79,28.94,3.47
1,Vikhorevka,61,RU,1562460364,87,56.12,101.17,16.67,4.0
2,Monte Azul,44,BR,1562460365,51,-15.15,-42.87,21.52,2.45
3,Jamestown,68,AU,1562460366,89,-33.21,138.6,12.31,1.55
4,Kodiak,1,US,1562460368,28,39.95,-94.76,28.89,1.5
5,Chicama,87,PE,1562460369,92,-7.84,-79.15,16.93,4.17
6,Bredasdorp,90,ZA,1562460370,77,-34.53,20.04,16.0,7.2
7,Cayenne,0,GF,1562460372,88,4.94,-52.33,26.0,1.5
8,Yerbogachen,96,RU,1562460373,77,61.28,108.01,19.6,2.15
9,Albany,75,US,1562460359,100,42.65,-73.75,24.44,1.5
10,Khasan,98,RU,1562460376,80,42.43,130.64,18.27,1.93
11,Comodoro Rivadavia,0,AR,1562460377,75,-45.87,-67.48,8.0,1.5
12,Mar del Plata,1,AR,1562460378,70,-46.43,-67.52,6.6,2.83
13,Muros,20,ES,1562460380,93,42.77,-9.06,18.33,1.0
14,Marquette,75,US,1562460381,59,46.54,-87.4,16.11,3.6
15,Cape Town,40,ZA,1562460381,82,-33.93,18.42,15.0,4.6
16,Raudeberg,73,NO,1562460383,71,61.99,5.14,12.0,6.7
17,Avarua,24,CK,1562460385,60,-21.21,-159.78,24.0,6.2
18,Rikitea,100,PF,1562460386,76,-23.12,-134.97,21.15,10.22
19,Nueva Loja,95,EC,1562460388,99,0.08,-76.88,21.02,1.08
20,Busselton,68,AU,1562460389,89,-33.64,115.35,12.22,7.4
21,Bongandanga,98,CD,1562460390,90,1.51,21.07,22.8,0.67
22,Port Hedland,0,AU,1562460392,52,-20.31,118.58,19.0,3.6
23,Varhaug,75,NO,1562460393,87,58.61,5.65,11.67,7.2
24,Vaini,75,IN,1562460394,94,15.34,74.49,22.0,8.2
25,Tasiilaq,75,GL,1562460395,93,65.61,-37.64,2.0,5.1
26,Teguldet,99,RU,1562460397,76,57.31,88.17,17.14,1.66
27,Thompson,75,CA,1562460398,29,55.74,-97.86,25.0,5.7
28,Punta Arenas,0,CL,1562460399,93,-53.16,-70.91,6.0,6.7
29,Ibra,53,OM,1562460401,42,22.69,58.55,28.53,0.64
30,Bilibino,2,RU,1562460402,39,68.06,166.44,20.7,6.43
31,Puerto Ayora,75,EC,1562460404,78,-0.74,-90.35,24.0,3.6
32,Nola,85,CF,1562460406,95,3.52,16.05,20.45,0.63
33,Jiazi,0,CN,1562460407,83,19.61,110.49,29.0,2.0
